test,name,outcome,measured,expected,ms,detail
0,Safe: TS_is_OFF=1 Green ON,FAIL,10.50861,0,550,Voltage 10.5086 V (target 0.0000 V) err 10.5086 V > tol 2.0000 V on HPCH1
1,Safe: Red_On=0 Red OFF,PASS,10.52887,12,550,Voltage 10.5289 V (target 12.0000 V) err 1.4711 V <= tol 2.0000 V on HPCH2
2,HV pres: TS_is_OFF=0 Grn OFF,PASS,10.96683,12,550,Voltage 10.9668 V (target 12.0000 V) err 1.0332 V <= tol 2.0000 V on HPCH1
3,AIR+ cls: TS_is_OFF=0 GrnOFF,PASS,10.96943,12,549,Voltage 10.9694 V (target 12.0000 V) err 1.0306 V <= tol 2.0000 V on HPCH1
4,AIR- cls: TS_is_OFF=0 GrnOFF,PASS,10.96878,12,550,Voltage 10.9688 V (target 12.0000 V) err 1.0312 V <= tol 2.0000 V on HPCH1
5,PRE cls: TS_is_OFF=0 Grn OFF,PASS,10.97202,12,550,Voltage 10.9720 V (target 12.0000 V) err 1.0280 V <= tol 2.0000 V on HPCH1
6,AIR+_Stuck=1 Green OFF,PASS,10.51511,12,550,Voltage 10.5151 V (target 12.0000 V) err 1.4849 V <= tol 2.0000 V on HPCH1
7,AIR-_Stuck=1 Green OFF,PASS,10.51575,12,549,Voltage 10.5158 V (target 12.0000 V) err 1.4842 V <= tol 2.0000 V on HPCH1
8,PRECHARGE_Stuck=1 Green OFF,PASS,10.5203,12,550,Voltage 10.5203 V (target 12.0000 V) err 1.4797 V <= tol 2.0000 V on HPCH1
9,RlyClsdNoVolt AIR+ Grn OFF,PASS,10.51965,12,550,Voltage 10.5196 V (target 12.0000 V) err 1.4804 V <= tol 2.0000 V on HPCH1
10,RlyClsdNoVolt AIR- Grn OFF,PASS,10.5216,12,550,Voltage 10.5216 V (target 12.0000 V) err 1.4784 V <= tol 2.0000 V on HPCH1
11,RlyClsdNoVolt PRE Grn OFF,PASS,10.52614,12,550,Voltage 10.5261 V (target 12.0000 V) err 1.4739 V <= tol 2.0000 V on HPCH1
12,SCS AIR+AUX2 gnd: Green OFF,PASS,10.52289,12,550,Voltage 10.5229 V (target 12.0000 V) err 1.4771 V <= tol 2.0000 V on HPCH1
13,SCS AIR-AUX2 gnd: Green OFF,PASS,10.52549,12,550,Voltage 10.5255 V (target 12.0000 V) err 1.4745 V <= tol 2.0000 V on HPCH1
14,SCS PREAUX2 gnd: Green OFF,PASS,10.52484,12,550,Voltage 10.5248 V (target 12.0000 V) err 1.4752 V <= tol 2.0000 V on HPCH1
15,SCS HVAccu gnd: Green OFF,PASS,10.98111,12,549,Voltage 10.9811 V (target 12.0000 V) err 1.0189 V <= tol 2.0000 V on HPCH1
16,SCS AIR+AUX2 open: Grn OFF,PASS,10.52419,12,550,Voltage 10.5242 V (target 12.0000 V) err 1.4758 V <= tol 2.0000 V on HPCH1
17,SCS AIR-AUX2 open: Grn OFF,PASS,10.52484,12,550,Voltage 10.5248 V (target 12.0000 V) err 1.4752 V <= tol 2.0000 V on HPCH1
18,SCS PREAUX2 open: Grn OFF,PASS,10.98241,12,550,Voltage 10.9824 V (target 12.0000 V) err 1.0176 V <= tol 2.0000 V on HPCH1
19,SCS HVAccu open: Grn OFF,PASS,10.97916,12,549,Voltage 10.9792 V (target 12.0000 V) err 1.0208 V <= tol 2.0000 V on HPCH1
20,Implaus clear: Green auto-ON,FAIL,10.52809,0,550,Voltage 10.5281 V (target 0.0000 V) err 10.5281 V > tol 2.0000 V on HPCH1
21,Implaus: Red_On=0 Red OFF,PASS,10.54512,12,550,Voltage 10.5451 V (target 12.0000 V) err 1.4549 V <= tol 2.0000 V on HPCH2
22,TS inputs ON: Red OFF,PASS,10.98799,12,550,Voltage 10.9880 V (target 12.0000 V) err 1.0120 V <= tol 2.0000 V on HPCH2
